,STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPressureChange,HourlyRelativeHumidity,HourlyStationPressure,HourlyWindSpeed,cloud cover percentage,is_fire
212,72286903171,20200917125300,97.0,0.0,0.06,7.0,29.02,5.0,0.0,True
213,72286903171,20230220125300,74.0,0.0,0.08,24.0,29.13,7.0,0.0,False
214,72286903171,20200918125300,102.0,0.0,0.05,8.0,28.96,10.0,0.0,False
215,72286903171,20180825125300,87.0,0.0,0.05,37.0,29.04,7.0,0.0,True
216,72286903171,20190904125300,102.0,0.0,0.05,23.0,28.95,10.0,0.0,True
217,72286903171,20230311125300,62.0,0.0,0.01,84.0,29.17,0.0,1.0,False
218,72286903171,20180726125300,100.0,0.0,0.04,25.0,29.03,13.0,0.25,True
219,72286903171,20160422125300,77.0,0.0,0.02,37.0,29.05,15.0,0.0,False
220,72286903171,20230630125300,92.0,0.0,0.06,34.0,28.95,9.0,0.0,False
221,72286903171,20220506125300,85.0,0.0,0.04,21.0,29.04,11.0,0.0,True
222,72286903171,20200122125300,61.0,0.0,0.06,60.0,29.25,6.0,0.0,False
223,72286903171,20231022125300,75.0,0.0,0.07,50.0,28.91,6.0,0.0,False
224,72286903171,20230110120500,52.0,1.0,0.0,89.0,29.15,21.0,0.875,False
225,72286903171,20180822125300,91.0,0.0,0.05,30.0,29.09,9.0,0.0,True
226,72286903171,20230820125300,73.0,12.0,0.07,94.0,28.68,3.0,1.0,False
227,72286903171,20230119125300,56.0,0.0,0.08,60.0,29.18,6.0,0.25,False
228,72286903171,20210928125300,74.0,0.0,0.06,48.0,29.0,9.0,0.0,False
229,72286903171,20220424125300,83.0,0.0,0.04,9.0,29.11,9.0,0.0,False
230,72286903171,20220515125300,87.0,0.0,0.03,15.0,28.99,14.0,0.0,True
231,72286903171,20180214125300,64.0,0.0,0.06,46.0,29.2,8.0,1.0,False
232,72286903171,20210602125300,88.0,0.0,0.05,31.0,28.96,7.0,0.0,True
233,72286903171,20170430125300,88.0,0.0,0.06,9.0,29.13,10.0,0.0,True
234,72286903171,20180423125300,86.0,0.0,0.05,22.0,29.06,10.0,0.0,False
235,72286903171,20171207125300,73.0,0.0,0.08,6.0,29.36,14.0,0.0,True
236,72286903171,20170413125300,72.0,0.0,0.02,44.0,29.12,20.0,0.875,True
237,72286903171,20171010125300,88.0,0.0,0.08,7.0,29.0,3.0,0.0,True
238,72286903171,20220120125300,74.0,0.0,0.07,14.0,29.3,9.0,0.0,False
239,72286903171,20200421125300,71.0,0.0,0.04,47.0,29.18,9.0,0.0,False
240,72286903171,20230712125300,97.0,0.0,0.04,14.0,29.06,11.0,0.0,True
241,72286903171,20211006123400,73.0,0.0,0.0,57.0,29.11,0.0,0.5,False
242,72286903171,20200131125300,77.0,0.0,0.06,15.0,29.33,5.0,0.0,False
243,72286903171,20230412125100,64.0,0.0,0.0,68.0,28.95,3.0,0.5,False
244,72286903171,20200518125300,71.0,0.0,0.01,63.0,29.07,10.0,0.875,True
245,72286903171,20170312125300,89.0,0.0,0.06,17.0,29.08,0.0,0.0,False
